Name;Class;Type;Range;Damage;Attacks;Dmg/sec;Decay;Ammo;Cost;Max.TT;Markup;Dmg/PEC;Efficiency;SIB;Source;Personal effects
Rusty Shank 4 (L);Melee;Shortblades;6.0;10;80;9.3; ;0; ;86.00; ; ;58.9;Yes;Looted; 
Rusty Shank 5 (L);Melee;Shortblades;6.0;14;81;13.1;3.349;0;3.349;121.00; ;2.905;58.9;Yes;Looted; 
Rusty Shank 6 (L);Melee;Shortblades;6.0;16;81;15.0; ;0; ;138.00; ; ;59.0;Yes;Looted; 
Rusty Shank (L);Melee;Shortblades;4.0;15;44;7.6;3.650;0;3.650;24.00; ;2.856;55.3;Yes;Crafted, Looted; 
Rutic Bett;Melee;Longblades;5.0;99;34;39.0;24.270;0;24.270;10496.00; ;2.835;53.8;Yes;Crafted; 
Rutic Bett (L);Melee;Longblades;5.0;99;34;39.0;24.000;0;24.000;1590.00; ;2.867;56.1;Yes;Crafted; 
Rutic Blix (L);Melee;Longblades;5.0;91;34;35.8;22.020;0;22.020;1430.00; ;2.872;56.7;Yes;Crafted; 
Rutic Kil (L);Melee;Longblades;5.0;70;32;25.9;17.000;0;17.000;1030.00;113.86%;2.862;55.6;Yes;Crafted; 
Rutic Slo;Melee;Longblades;5.0;39;30;13.6;9.506;0;9.506;2576.00; ;2.851;55.0;Yes;Crafted; 
Rutic Slo (L);Melee;Longblades;5.0;39;30;13.6;9.397;0;9.397;590.00;106.22%;2.884;57.3;Yes;Crafted; 
S & B Ardenner 0 (L);Rifle;BLP;41.8;6;52;3.6;0.140;131;1.450;11.00; ;2.876;56.7;Yes;Looted; 
S & B Ardenner 2 (L);Rifle;BLP;44.0;11;52;6.6;0.248;241;2.658;19.50; ;2.876;56.8;Yes;Looted; 
S & B Ardenner 3 (L);Rifle;BLP;46.2;14;52;8.4;0.322;306;3.382;25.00; ;2.877;56.8;Yes;Looted; 
S & B Ardenner 4 (L);Rifle;BLP;48.4;17;52;10.2;0.405;370;4.105;32.00;110.00%;2.878;56.9;Yes;Looted; 
S & B Ardenner 6 (L);Rifle;BLP;50.6;22;53;13.5;0.510;480;5.310;40.00; ;2.879;57.0;Yes;Looted; 
S & B Ardenner 8 (L);Rifle;BLP;52.8;28;53;17.2;0.656;610;6.756;51.00;105.00%;2.880;57.1;Yes;Looted; 
