Name;Class;Type;Range;Damage;Attacks;Dmg/sec;Decay;Ammo;Cost;Max.TT;Markup;Dmg/PEC;Efficiency;SIB;Source;Personal effects
CDF XTLC 1000;Carbine;Laser;92.4;159;44;81.0;3.912;3440;38.312;322.00; ;2.884;57.4;Yes;Core Mayhem #3 Event;Skill Gain - Laser Weapons 10%
Cempball-Welch 1/P-1;Pistol;Plasma;49.5;24;16;4.4;0.060;600;6.060;18.00; ;2.752;48.0;No;Looted; 
Cempball-Welch 1/P-1, Mentor Edition;Pistol;Plasma;60.5;27;19;5.9;0.120;700;7.120;18.00; ;2.636;40.4;No;Mentoring; 
Cempball-Welch 1/P-2;Pistol;Plasma;55.0;56;19;12.3;0.800;1300;13.800;52.00; ;2.820;52.7;No;Looted; 
Cempball-Welch 1/P-3;Pistol;Plasma;55.0;60;20;13.9;1.640;1300;14.640;80.00; ;2.848;53.9;No;Looted; 
Cempball-Welch 1/P-3, Ancient;Pistol;Plasma;55.0;60;20;13.9;0.000;1300;13.000;80.00; ;3.208;83.8;No;Pregold; 
Chaz Wolf (L);Carbine;Laser;53.9;13;37;5.6; ;300; ; ; ; ; ;Yes;Special Code; 
Cheap A$$ Mk-1 Rifle (L);Rifle;BLP;55.0;2;34;0.8;0.081;41;0.491;0.14; ;2.831;53.5;Yes;Mission; 
Chef's Knife (L);Melee;Shortblades;5.0;5;78;4.5;1.200;0;1.200;9.00; ;2.896;58.2;Yes;TT RT; 
Chikara APPPG-1;Pistol;Plasma;48.4;132;22;33.6;8.920;2300;31.920;187.00;4999.00 PED;2.874;56.6;No;Looted; 
Chikara APPPG-1, SGA Edition;Pistol;Plasma;48.4;132;23;35.2;8.923;2300;31.923;187.00; ;2.874;56.6;No;Looted; 
Chikara Bakeneko (L);Melee;Power Fist;5.0;75;67;58.2; ;0; ;1400.00; ; ; ;Yes;Crafted; 
Chikara Hanyo (L);Melee;Power Fist;5.0;93;67;72.2; ; ; ;1780.00; ; ;63.5;Yes;Crafted; 
Chikara Mizuchi (L);Melee;Power Fist;5.0;84;67;65.2;20.000;0;20.000;1600.00; ;2.919;60.0;Yes;Crafted; 
Chikara Mudra Mk. 1 (L);Melee;Power Fist;3.0;5;67;3.9;1.200;0;1.200;10.00; ;2.896;58.2;Yes;Looted; 
Chikara Mudra Mk. 2 (L);Melee;Power Fist;3.0;8;67;6.2;1.950;0;1.950;15.00; ;2.851;54.9;Yes;Looted; 
Chikara Oni-Go (L);Pistol;Laser;33.0;14;74;12.0;0.330;310;3.430;24.00; ;2.837;53.9;Yes;Looted; 
Chikara Oni-Go, CDF Edition (L);Pistol;Laser;33.0;14;74;12.0;0.002;343;3.432;0.40; ;2.835;53.8;Yes;Daily Token Trader; 
Chikara Oni-Ichi (L);Pistol;Laser;26.4;4;74;3.4;0.090;89;0.980;5.70; ;2.837;52.9;Yes;Looted; 
Chikara Oni-Ichi, CDF Edition (L);Pistol;Laser;26.4;4;74;3.4;0.001;98;0.981;0.20; ;2.834;53.7;Yes;Daily Token Trader; 
Chikara Oni-Ni (L);Pistol;Laser;28.6;6;67;4.7;0.196;128;1.476;13.40;143.00%;2.825;53.1;Yes;Looted; 
Chikara Oni-Ni, CDF Edition (L);Pistol;Laser;28.6;6;67;4.7;0.001;147;1.471;0.20; ;2.835;53.8;Yes;Daily Token Trader; 
Chikara Oni-Roku (L);Pistol;Laser;37.4;16;77;14.3;0.435;348;3.915;32.00; ;2.840;54.2;Yes;Looted; 
Chikara Oni-Roku, CDF Edition (L);Pistol;Laser;37.4;16;77;14.3;0.002;391;3.912;0.40; ;2.843;54.3;Yes;Daily Token Trader; 
Chikara Oni-Roku, E.L.M Edition (L);Pistol;Laser;37.4;16;77;14.3;0.009;390;3.909;1.00;550.00%;2.845;54.5;Yes;Looted; 
Chikara Oni-Roku, MM Edition (L);Pistol;Laser; ; ; ; ; ; ; ; ; ; ; ;Yes;Looted; 
Chikara Oni-San (L);Pistol;Laser;35.2;7;74;6.0;0.250;147;1.720;18.00;105.00%;2.828;53.3;Yes;Looted; 
Chikara Oni-San, CDF Edition (L);Pistol;Laser;35.2;7;74;6.0;0.001;172;1.721;0.20; ;2.827;53.2;Yes;Daily Token Trader; 
Chikara Oni-Shi (L);Pistol;Laser;41.8;11;67;8.5;0.270;243;2.700;20.00;115.00%;2.831;53.5;Yes;Looted; 
Chikara Oni-Shi, CDF Edition (L);Pistol;Laser;41.8;11;67;8.5;0.002;270;2.702;0.40; ;2.829;53.4;Yes;Daily Token Trader; 
Chikara Oni-Shichi (L);Pistol;Laser;30.8;20;74;17.1;0.500;439;4.890;39.00; ;2.843;54.3;Yes;Looted; 
Chikara Oni-Shichi, CDF Edition (L);Pistol;Laser;30.8;20;74;17.1;0.002;489;4.892;0.40; ;2.841;54.2;Yes;Daily Token Trader; 
Chikara Vamachara Mk. 1 (L);Carbine;Laser;52.8;7;51;4.1;0.380;130;1.680;3.00; ;2.896;58.2;Yes;Looted; 
Chikara Vamachara Mk. 2 (L);Carbine;Laser;47.3;10;51;5.9;0.510;190;2.410;3.20; ;2.884;57.3;Yes;Looted; 
ClericDagger 1A;Melee;Shortblades;3.0;11;41;5.2;3.070;0;3.070;15.00; ;2.490;31.9;No;Crafted; 
ClericDagger 1B;Melee;Shortblades;3.0;12;48;6.7;4.520;0;4.520;18.00; ;1.845;6.2;No;Crafted; 
ClericDagger 1C;Melee;Shortblades;3.0;16;48;8.9;5.200;0;5.200;24.00; ;2.138;15.8;No;Crafted; 
ClericDagger 2A;Melee;Shortblades;3.0;18;54;11.3;5.800;0;5.800;29.00; ;2.157;16.0;No;Crafted; 
ClericDagger 2B;Melee;Shortblades;3.0;23;54;14.4;7.360;0;7.360;35.00; ;2.172;16.7;No;Crafted; 
ClericDagger 2C;Melee;Shortblades;3.0;26;55;16.6;8.300;0;8.300;40.00; ;2.177;17.0;No;Crafted; 
ClericDagger 3A;Melee;Shortblades;3.0;28;61;19.8;8.900;0;8.900;42.00; ;2.187;17.3;No;Crafted; 
ClericDagger 3B;Melee;Shortblades;3.0;36;75;31.3; ;0; ;65.00; ; ;16.9;No;Crafted; 
ClericDagger 3C;Melee;Shortblades;3.0;45;75;39.1;14.000;0;14.000;75.00; ;2.234;19.3;No;Crafted; 
Cochran LP1 (L);Pistol;Laser;29.7;4;68;3.2; ;87; ;8.00; ; ;58.2;Yes;Crafted; 
Cochran LP3 (L);Pistol;Laser;29.7;11;55;7.0;0.260;238;2.640;18.00; ;2.896;58.2;Yes;Crafted; 
Cochran LP5 (L);Pistol;Laser;29.7;16;55;10.2; ;346; ;25.00; ; ;58.2;Yes;Crafted; 
Cochran LP7 (L);Pistol;Laser;29.7;21;55;13.4; ;454; ;35.00; ; ;58.2;Yes;Crafted; 
Cochran LP9 (L);Pistol;Laser;29.7;25;55;15.9; ;540; ;40.00;150.00%; ;58.2;Yes;Crafted; 
Cochran LP10 (L) Adapted;Pistol;Laser;38.5;23;60;16.0;0.539;480;5.339;200.00; ;2.994;65.8;Yes;Crafted; 
Cochran LR3 (L);Carbine;Laser;66.0;15;40;7.0;0.360;324;3.600;18.00; ;2.896;58.2;Yes;Crafted; 
Cochran LR5 (L);Carbine;Laser;66.0;22;40;10.2;0.530;475;5.280;25.00; ;2.896;58.2;Yes;Crafted; 
Cochran LR7 (L);Carbine;Laser;66.0;29;40;13.4;0.696;626;6.956;35.00; ;2.897;58.2;Yes;Crafted; 
Cochran LR9 (L);Carbine;Laser;66.0;34;40;15.8;0.820;734;8.160;40.00;160.00%;2.896;58.2;Yes;Crafted; 
Cochran LR10 (L) Adapted;Carbine;Laser;88.0;34;40;15.8;0.770;710;7.870;200.00; ;3.003; ;Yes;Crafted; 
Cochran P1 (L);Pistol;BLP;29.7;4;68;3.2;0.100;87;0.970;8.00; ;2.866;56.0;Yes;Crafted; 
Cold-ir;Carbine;Laser;60.5;42;41;19.9;0.800;1000;10.800;124.00; ;2.703;44.7;No;Crafted; 
Combustive Attack Chip 1 (L);Mindforce;Pyro;70.4;20;22;5.1;1.923;294;4.863;8.00;116.00%;2.858;55.5;Yes;Looted; 
Combustive Attack Chip 2 (L);Mindforce;Pyro;71.5;38;22;9.7;3.697;554;9.237;19.50; ;2.859;55.5;Yes;Looted; 
Combustive Attack Chip 3 (L);Mindforce;Pyro;70.4;51;22;13.0;4.963;744;12.403;31.00; ;2.858;55.4;Yes;Looted; 
Combustive Attack Chip 4 (L);Mindforce;Pyro;69.3;73;22;18.6;7.109;1065;17.759;41.50; ;2.857;55.4;Yes;Looted; 
Combustive Attack Chip 4, First Gen;Mindforce;Pyro;110.0;140;5;8.1;20.640;1376;34.400;58.00; ;2.828;53.3;Yes;Looted; 
Combustive Attack Chip 5 (L);Mindforce;Pyro;71.5;96;22;24.5;9.327;1398;23.307;54.50; ;2.863;55.8;Yes;Looted; 
Combustive Attack Chip 5, First Gen;Mindforce;Pyro;113.0;168;5;9.7;24.780;1652;41.300;79.00; ;2.827;53.2;Yes;Looted; 
Combustive Attack Chip 6 (L);Mindforce;Pyro;70.4;119;22;30.3;11.561;1734;28.901;66.00; ;2.862;55.7;Yes;Looted; 
Combustive Attack Chip 6, First Gen;Mindforce;Pyro;115.0;199;4;9.2;28.247;1956;47.807;112.00; ;2.893;53.3;Yes;Looted; 
Combustive Attack Chip 7 (L);Mindforce;Pyro;68.2;145;22;37.0;14.097;2115;35.247;74.50;108.00%;2.859;55.5;Yes;Looted; 
Combustive Attack Chip 8 (L);Mindforce;Pyro;69.3;164;22;41.8;15.609;2388;39.489;94.50; ;2.886;55.8;Yes;Looted; 
Combustive Attack Chip 8, First Gen;Mindforce;Pyro;125.0;296;3;10.3;43.650;2910;72.750;212.00; ;2.828;53.3;Yes;Looted; 
Combustive Attack Nanochip 1;Mindforce;Pyro;70.4;20;22;5.1;0.416;444;4.856;25.00; ;2.862;55.8;Yes;Looted; 
Combustive Attack Nanochip 1 (L);Mindforce;Pyro;70.4;20;22;5.1;0.311;450;4.811;25.00;110.00%;2.889;57.7;Yes;Looted; 
Combustive Attack Nanochip 2;Mindforce;Pyro;71.5;38;22;9.7;0.534;869;9.224;35.00; ;2.863;55.5;Yes;Looted; 
Combustive Attack Nanochip 2 (L);Mindforce;Pyro;71.5;38;22;9.7;0.391;875;9.141;33.00; ;2.889;57.7;Yes;Looted; 
Combustive Attack Nanochip 3;Mindforce;Pyro;70.4;51;22;13.0;0.541;1185;12.391;37.00; ;2.861;55.6;Yes;Looted; 
Combustive Attack Nanochip 3 (L);Mindforce;Pyro;70.4;51;22;13.0;0.396;1186;12.256;35.00;125.00%;2.892;57.9;Yes;Looted; 
Combustive Attack Nanochip 4;Mindforce;Pyro;69.3;73;22;18.6;0.526;1721;17.736;38.00;330.00 PED;2.861;55.6;Yes;Looted; 
Combustive Attack Nanochip 4 (L);Mindforce;Pyro;69.3;73;22;18.6;0.402;1714;17.542;37.00; ;2.892;58.0;Yes;Looted; 
Combustive Attack Nanochip 4, Adjusted (L);Mindforce;Pyro;73.7;73;22;18.6; ;1790; ;44.00;0.00%; ;59.4;Yes;Looted; 
Combustive Attack Nanochip 5;Mindforce;Pyro;71.5;96;22;24.5;1.017;2229;23.307;79.00; ;2.863;55.6;Yes;Looted; 
Combustive Attack Nanochip 5 (L);Mindforce;Pyro;71.5;96;22;24.5;0.556;2250;23.056;54.50;109.00%;2.894;58.0;Yes;Looted; 
Combustive Attack Nanochip 5, TEN Edition;Mindforce;Pyro;73.7;96;23;25.6;0.976;2177;22.746;82.00; ;2.933;60.9;Yes;Event, Looted; 
