Name;Class;Type;Range;Damage;Attacks;Dmg/sec;Decay;Ammo;Cost;Max.TT;Markup;Dmg/PEC;Efficiency;SIB;Source;Personal effects
Isis BL100 (L);Pistol;BLP;30.8;3;65;2.3;0.077;66;0.737;3.40; ;2.829;53.4;Yes;Looted; 
Isis BL100, CDF Edition (L);Pistol;BLP;30.8;3;65;2.3;0.001;73;0.731;0.20;100.00%;2.852;55.0;Yes;Daily Token Trader; 
Isis BL100E (L);Pistol;BLP;35.2;13;58;8.7;0.359;290;3.259;18.00; ;2.772;54.3;Yes;Looted; 
Isis BL100E, CDF Edition (L);Pistol;BLP;35.2;13;58;8.7;0.002;317;3.172;0.40; ;2.848;54.7;Yes;Daily Token Trader; 
Isis BL200 (L);Pistol;BLP;33.0;5;63;3.6;0.095;113;1.225;4.80; ;2.837;53.9;Yes;Looted; 
Isis BL200, CDF Edition (L);Pistol;BLP;33.0;5;63;3.6;0.001;122;1.221;0.20;100.00%;2.846;54.6;Yes;Daily Token Trader; 
Isis BL200E (L);Pistol;BLP;38.5;16;61;11.3;0.310;360;3.910;22.00;2250.00%;2.844;54.4;Yes;Looted; 
Isis BL200E, CDF Edition (L);Pistol;BLP;38.5;16;61;11.3;0.002;391;3.912;0.40; ;2.843;54.3;Yes;Daily Token Trader; 
Isis BL300 (L);Pistol;BLP;33.0;8;63;5.8;0.208;175;1.958;12.00; ;2.840;54.1;Yes;Looted; 
Isis BL300, CDF Edition (L);Pistol;BLP;33.0;8;63;5.8;0.001;195;1.951;0.20; ;2.850;54.8;Yes;Daily Token Trader; 
Isis BL300E (L);Pistol;BLP;39.6;19;63;13.9;0.445;419;4.635;32.00;106.25%;2.849;54.8;Yes;Looted; 
Isis BL300E, CDF Edition (L);Pistol;BLP;39.6;19;63;13.9;0.002;463;4.632;0.40; ;2.851;54.9;Yes;Daily Token Trader; 
Isis BL800;Pistol;BLP;28.6;22;46;11.7;1.466;400;5.466;2180.00;2500.00 PED;2.797;51.1;Yes;Looted; 
Isis BL800 (L);Pistol;BLP;28.6;22;46;11.7;1.379;400;5.379;93.00;105.00%;2.843;54.3;Yes;Looted; 
Isis BL1000 (L);Pistol;BLP;26.4;54;53;33.2;3.245;1000;13.245;265.00; ;2.834;53.7;Yes;Looted; 
Isis BL1300 (L);Pistol;BLP;29.7;89;55;56.7;5.605;1600;21.605;410.00; ;2.863;55.8;Yes;Looted; 
