Name;Class;Type;MF Level;Range;Weight;Damage;Impact Radius;Attacks;Reload;Dmg/sec;Power;Decay;Ammo;Cost;Max.TT;Min.TT;Markup;Eff.Markup;Total Uses;Cost/sec;Dmg/PEC;Efficiency;Stb;Cut;Imp;Pen;Shr;Brn;Cld;Acd;Elc;SIB;Amplifier;Ammo;Concentration;Cooldown;Cooldown Group;Hit Profession;Rec.;Maxed;Damage Profession;Rec.;Maxed;Source;Discovered;Found on;Personal effects
Isis BL100 (L);Pistol;BLP; ;30.8;1.6;3; ;65;0.9;2.3;69.6;0.077;66;0.737;3.40;0.10; ;1.0;4286;0.80;2.829;53.4;0;0;0;3;0;0;0;0;0;Yes;BLP Amp;BLP Pack; ; ; ;BLP Pistoleer (Hit);1;2;Ranged BLP (Dmg);1;2;Looted;Planet Calypso 2012.5.1;Planet Calypso; 
Isis BL100, CDF Edition (L);Pistol;BLP; ;30.8;1.6;3; ;65;0.9;2.3;69.6;0.001;73;0.731;0.20;0.00;100.00%;1.0;20000;0.79;2.852;55.0;0;0;0;3;0;0;0;0;0;Yes;BLP Amp;BLP Pack; ; ; ;BLP Pistoleer (Hit);0.5;1;Ranged BLP (Dmg);0.5;1;Daily Token Trader;;Planet Calypso; 
Isis BL100E (L);Pistol;BLP; ;35.2;1.6;13;0;58;1.0;8.7;307.4;0.359;290;3.259;18.00;0.54; ;1.0;4864;3.15;2.772;54.3;0;0;0;13;0;0;0;0;0;Yes;BLP Amp;BLP Pack; ; ; ;BLP Pistoleer (Hit);4;6;Ranged BLP (Dmg);4;6;Looted;Planet Calypso 2012.5;Planet Calypso; 
Isis BL100E, CDF Edition (L);Pistol;BLP; ;35.2;1.6;13; ;58;1.0;8.7;307.4;0.002;317;3.172;0.40;0.00; ;1.0;20000;3.07;2.848;54.7;0;0;0;13;0;0;0;0;0;Yes;BLP Amp;BLP Pack; ; ; ;BLP Pistoleer (Hit);3;4;Ranged BLP (Dmg);3;4;Daily Token Trader;;Planet Calypso; 
Isis BL200 (L);Pistol;BLP; ;33.0;1.6;5; ;63;1.0;3.6;120.4;0.095;113;1.225;4.80;0.144; ;1.0;4902;1.29;2.837;53.9;0;0;0;5;0;0;0;0;0;Yes;BLP Amp;BLP Pack; ; ; ;BLP Pistoleer (Hit);2;3;Ranged BLP (Dmg);2;3;Looted;;Planet Calypso; 
Isis BL200, CDF Edition (L);Pistol;BLP; ;33.0;1.6;5; ;63;1.0;3.6;120.4;0.001;122;1.221;0.20;0.00;100.00%;1.0;20000;1.28;2.846;54.6;0;0;0;5;0;0;0;0;0;Yes;BLP Amp;BLP Pack; ; ; ;BLP Pistoleer (Hit);1;2;Ranged BLP (Dmg);1;2;Daily Token Trader;;Planet Calypso; 
Isis BL200E (L);Pistol;BLP; ;38.5;1.6;16; ;61;1.0;11.3;435.3;0.310;360;3.910;22.00;0.6596;2250.00%;1.0;6884;3.98;2.844;54.4;0;0;2;14;0;0;0;0;0;Yes;BLP Amp;BLP Pack; ; ; ;BLP Pistoleer (Hit);6;8;Ranged BLP (Dmg);6;8;Looted;12.8;Planet Calypso; 
Isis BL200E, CDF Edition (L);Pistol;BLP; ;38.5;1.6;16; ;61;1.0;11.3;435.3;0.002;391;3.912;0.40;0.00; ;1.0;20000;3.98;2.843;54.3;0;0;2;14;0;0;0;0;0;Yes;BLP Amp;BLP Pack; ; ; ;BLP Pistoleer (Hit);4;6;Ranged BLP (Dmg);4;6;Daily Token Trader;;Planet Calypso; 
Isis BL300 (L);Pistol;BLP; ;33.0;1.6;8; ;63;1.0;5.8;192.7;0.208;175;1.958;12.00;0.36; ;1.0;5597;2.06;2.840;54.1;0;0;0;8;0;0;0;0;0;Yes;BLP Amp;BLP Pack; ; ; ;BLP Pistoleer (Hit);3;4.2;Ranged BLP (Dmg);3;4;Looted;Planet Calypso 2012.5.1;Planet Calypso; 
Isis BL300, CDF Edition (L);Pistol;BLP; ;33.0;1.6;8; ;63;1.0;5.8;192.7;0.001;195;1.951;0.20;0.00; ;1.0;20000;2.05;2.850;54.8;0;0;0;6;0;0;0;0;0;Yes;BLP Amp;BLP Pack; ; ; ;BLP Pistoleer (Hit);2;3;Ranged BLP (Dmg);2;3;Daily Token Trader;;Planet Calypso; 
Isis BL300E (L);Pistol;BLP; ;39.6; ;19; ;63;1.0;13.9;549.1;0.445;419;4.635;32.00;0.96;106.25%;1.0;6976;4.87;2.849;54.8;0;0;2;17;0;0;0;0;0;Yes;BLP Amp;BLP Pack; ; ; ;BLP Pistoleer (Hit);8;10;Ranged BLP (Dmg);8;10;Looted;12.10;Planet Calypso; 
