Name;Class;Type;MF Level;Range;Weight;Damage;Impact Radius;Attacks;Reload;Dmg/sec;Power;Decay;Ammo;Cost;Max.TT;Min.TT;Markup;Eff.Markup;Total Uses;Cost/sec;Dmg/PEC;Efficiency;Stb;Cut;Imp;Pen;Shr;Brn;Cld;Acd;Elc;SIB;Amplifier;Ammo;Concentration;Cooldown;Cooldown Group;Hit Profession;Rec.;Maxed;Damage Profession;Rec.;Maxed;Source;Discovered;Found on;Personal effects
MANTA K-3 (L);Melee;Shortblades; ;3.6;1;33; ;52;1.2;19.9;71.6;7.942;0;7.942;50.00;1.50; ;1.0;611;6.88;2.888;57.6;11;22;0;0;0;0;0;0;0;Yes;Melee Amp;; ; ; ;Knifefighter (Hit);10;14;Knifefighter (Dmg);10;14;Crafted, Looted;11.10.2;Planet Arkadia; 
MANTA K-3 Smuggler;Melee;Shortblades; ;3.6;1;36; ;54;1.1;22.5;81.1;8.703;0;8.703;700.00;21.00; ;1.0;7802;7.83;2.875;56.7;12;24;0;0;0;0;0;0;0;Yes;Melee Amp;; ; ; ;Knifefighter (Hit);11.4;15.4;Knifefighter (Dmg);11.4;15.4;Event, Looted;12.1.4;Planet Arkadia; 
MANTA K-4 (L);Melee;Shortblades; ;3.6;1;42; ;54;1.1;26.3;94.6;10.094;0;10.094;70.00;2.10; ;1.0;673;9.08;2.892;57.9;14;28;0;0;0;0;0;0;0;Yes;Melee Amp;; ; ; ;Knifefighter (Hit);14;18;Knifefighter (Dmg);14;18;Crafted, Looted;11.10.2;Planet Arkadia; 
MANTA K-5 (L);Melee;Shortblades; ;3.6;1;48; ;57;1.1;31.7;114.1;11.520;0;11.520;90.00;2.70; ;1.0;758;10.94;2.896; ;16;32;0;0;0;0;0;0;0;Yes;Melee Amp;; ; ; ;Knifefighter (Hit);18;22;Knifefighter (Dmg);18;22;Crafted, Looted;11.10.2;Planet Arkadia; 
MANTA K-5 Smuggler;Melee;Shortblades; ;3.6;0.8;54; ;59;1.0;36.9;132.9;13.024;0;13.024;1800.00;54.00; ;1.0;13407;12.81;2.882;57.2;18;36;0;0;0;0;0;0;0;Yes;Melee Amp;; ; ; ;Knifefighter (Hit);22;26;Knifefighter (Dmg);22;26;Event, Looted;12.1.3;Planet Arkadia; 
MANTA K-TT (L);Melee;Shortblades; ;5.0;0.4;5; ;78;0.8;4.5;22.6;1.200;0;1.200;9.00;0.27;0.00%;1.0;728;1.56;2.896;58.2;30;1;0;0;0;1;0;0;0;Yes;Melee Amp;; ; ; ;Knifefighter (Hit);0; ;Knifefighter (Dmg);0;0;TT Arkadia;15.0;Planet Arkadia; 
MANTA Strike 1 (L);Melee;Shortblades; ; ;0.7;48; ;51;1.2;28.4; ;11.528;0;11.528;330.00;9.90; ;1.0;2777;9.80;2.894; ;5;10;0;0;0;0;0;0;33;Yes;Melee Amp;; ; ; ;Knifefighter (Hit);16;20;Knifefighter (Dmg);16;20;Looted;;Planet Arkadia; 
MANTA Strike 2 (L);Melee;Shortblades; ;4.0;0.7;74; ;54;1.1;46.3;185.1;17.571;0;17.571;530.00;15.90; ;1.0;2926;15.81;2.927; ;7;14;0;0;0;0;0;0;53;Yes;Melee Amp;; ; ; ;Knifefighter (Hit);32;36;Knifefighter (Dmg);32;36;Looted;12.7.0;Planet Arkadia; 
MANTA Strike 3 (L);Melee;Shortblades; ; ;0.7;92; ;56;1.1;59.7; ;21.785;0;21.785;730.00;21.90; ;1.0;3251;20.33;2.935; ;9;18;0;0;0;0;0;0;65;Yes;Melee Amp;; ; ; ;Knifefighter (Hit);49;53;Knifefighter (Dmg);49;53;Looted;12.3.1;Planet Arkadia; 
Manticore Deathbringer;Melee;Power Fist; ;3.0;0.5;15; ;55;1.1;9.6;28.7;4.650;0;4.650;28.00;0.84; ;1.0;585;4.26;2.242;19.7;0;0;8;0;0;0;0;0;7;No;Melee Amp;; ; ; ;Brawler (Hit);0;100;Brawler (Dmg);0;100;Looted;;Planet Calypso; 
Manticore Deathbringer, Mentor Edition;Melee;Power Fist; ;4.0;0.5;18; ;66;0.9;13.8;55.0;4.750;0;4.750;28.00;0.84; ;1.0;572;5.22;2.634;40.3;0;0;9;0;0;0;0;0;9;No;Melee Amp;; ; ; ;Brawler (Hit);0;100;Brawler (Dmg);0;100;Mentoring;;Planet Calypso; 
Manuari Stoikow Anti-Materiel Rifle, Prototype (L);Rifle;BLP; ;134.0;3.1;404; ;4;15.0;18.7;2508.3; ;900; ;21.00;0.63; ; ; ; ; ;0.0;0;0;41;363;0;0;0;0;0;Yes;BLP Amp;BLP Pack; ; ; ;BLP Sniper (Hit);7; ;Ranged BLP (Dmg);7; ;Looted;9.2;Planet Calypso; 
Manuari Stormer Anti-Materiel Rifle, Prototype (L);Rifle;BLP; ;131.0;3.1;303;0;5;12.0;17.5;2298.9; ;700; ;14.00;0.42; ; ; ; ; ;0.4;0;0;29;274;0;0;0;0;0;Yes;BLP Amp;BLP Pack; ; ; ;BLP Sniper (Hit);4; ;Ranged BLP (Dmg);4; ;Looted;9.2.1;Planet Calypso; 
Marber BGH Annihilator;Rifle;Plasma; ;135.0;6;270; ;20;3.0;62.6;8444.3;1.000;6200;63.000;100.00;0.00; ;1.0;10000;21.00;2.979;79.0;0;0;0;0;50;170;0;50;0;Yes;Energy Amp;Weapon Cells; ; ; ;Plasma Sniper (Hit);90;100;Ranged Plasma (Dmg);90;100;Looted;17.15.1; ; 
Marber Bravo-Type Plasma Annihilator;Rifle;Plasma; ;150.0;3;99;0;13;4.6;14.9;2236.2;0.900;2300;23.900;80.00;2.40; ;1.0;8623;5.18;2.879;57.0;0;0;0;0;9;81;0;9;0;No;Energy Amp;Weapon Cells; ; ; ;Plasma Sniper (Hit);0;100;Ranged Plasma (Dmg);0;100;Looted;;Planet Calypso; 
Marber Bravo-Type Plasma Annihilator, Adjusted;Rifle;Plasma; ;158.0;3;99; ;20;3.0;22.9;3623.7;0.900;2300;23.900;80.00;2.40;1000.00 PED;1.0;8623;7.97;2.879;57.0;0;0;0;0;9;81;0;9;0;Yes;Energy Amp;Weapon Cells; ; ; ;Plasma Sniper (Hit);52; ;Ranged Plasma (Dmg);52; ;Mission;15.9.1;Planet Calypso; 
Marber Bravo-Type Plasma Annihilator WOF Edition;Rifle;Plasma; ;154.0;3;99;0;15;4.0;17.2;2649.0;0.900;2300;23.900;80.00;2.40; ;1.0;8623;5.97;2.879;57.0;0;0;0;0;9;81;0;9;0;No;Energy Amp;Weapon Cells; ; ; ;Plasma Sniper (Hit); ;100;Ranged Plasma (Dmg); ;100;Event;;Planet Calypso; 
Marber Echo-Type Plasma Annihilator;Rifle;Plasma; ;150.0;5;87; ;12;5.0;12.1;1814.0;1.510;2000;21.510;70.00;2.10; ;1.0;4497;4.30;2.811;52.2;0;0;0;0;8;71;0;8;0;No;Energy Amp;Weapon Cells; ; ; ;Plasma Sniper (Hit);0;100;Ranged Plasma (Dmg);0;100;Looted;;Planet Calypso; 
Marber Echo-Type Plasma Annihilator, SGA Edition;Rifle;Plasma; ;150.0;5;87;0;16;3.8;16.1;2418.6;1.500;2000;21.500;70.00;2.10; ;1.0;4527;5.73;2.812;52.2;0;0;0;0;8;71;0;8;0;No;Energy Amp;Weapon Cells; ; ; ;Plasma Sniper (Hit);0;100;Ranged Plasma (Dmg);0;100;Looted;10.2;Planet Calypso; 
Marber Echo-Type Plasma Annihilator Mentor Ed.;Rifle;Plasma; ;152.0;5;93; ;13;4.6;14.0;2128.6;1.510;2100;22.510;70.00;2.10; ;1.0;4497;4.88;2.871;56.5;0;0;0;9;0;75;0;9;0;No;Energy Amp;Weapon Cells; ; ; ;Plasma Sniper (Hit);0;100;Ranged Plasma (Dmg);0;100;Mentoring;;Planet Calypso; 
Marber Foxtrot-Type Plasma Annihilator;Rifle;Plasma; ;150.0;5.2;109; ;12;5.0;15.2;2272.6;1.340;2500;26.340;145.00;4.35;250.00 PED;1.0;10497;5.27;2.876;56.8;0;0;0;0;10;89;0;10;0;No;Energy Amp;Weapon Cells; ; ; ;Plasma Sniper (Hit);0;100;Ranged Plasma (Dmg);0;100;Looted;;Planet Calypso; 
Marber Foxtrot-Type Plasma Annihilator, Mentor Ed.;Rifle;Plasma; ;160.0;5.5;119;0;14;4.3;19.3;3087.7;4.000;2500;29.000;145.00;4.35;3500.00 PED;1.0;3517;6.77;2.852;55.0;0;0;0;0;11;97;0;11;0;No;Energy Amp;Weapon Cells; ; ; ;Plasma Sniper (Hit);0;100;Ranged Plasma (Dmg);0;100;Mentoring;;Planet Calypso; 
Marber Foxtrot-Type Plasma Annihilator, SGA Edition;Rifle;Plasma; ;165.0;5.2;109; ;12;5.0;15.2;2499.9;1.340;2500;26.340;145.00;4.35;300.00 PED;1.0;10497;5.27;2.876;56.8;0;0;0;0;10;89;0;10;0;No;Energy Amp;Weapon Cells; ; ; ;Plasma Sniper (Hit);0;100;Ranged Plasma (Dmg);0;100;Looted;;Planet Calypso; 
Marber Tango-Type Plasma Annihilator;Rifle;Plasma; ;175.0;6;225;0;5;12.0;13.0;2280.5;34.842;2300;57.842;225.00;6.75; ;1.0;627;4.82;2.703;44.8;0;0;0;0;22;181;0;22;0;No;Energy Amp;Weapon Cells; ; ; ;Plasma Sniper (Hit);0;100;Ranged Plasma (Dmg);0;100;Looted;;Planet Calypso; 
Marber Tango-Type Plasma Annihilator, SGA Edition;Rifle;Plasma; ;175.0;6;225; ;6;10.0;15.6;2736.6; ;2300; ;225.00;6.75; ; ; ; ; ;44.8;0;0;0;0;22;181;0;22;0;No;Energy Amp;Weapon Cells; ; ; ;Plasma Sniper (Hit);0;100;Electro Kinetic (Dmg);0;100;Looted;10.6.1;Planet Calypso; 
Marcato-9 Automatic Pistol (L);Pistol;Laser; ;27.5;2;9; ;53;1.1;5.5;151.9;0.445;171;2.155;11.00;0.33;154.00%;1.0;2398;1.90;2.903;58.7;0;0;0;1;0;8;0;0;0;Yes;Energy Amp;Weapon Cells; ; ; ;Laser Pistoleer (Hit);0; ;Ranged Laser (Dmg);0; ;Crafted;11.9.4;ROCKtropia; 
Marcato-9 RFZ Automatic Pistol (L);Pistol;Laser; ;27.5; ;20; ;54;1.1;12.5;344.0;0.921;387;4.791;24.00;0.72;230.00%;1.0;2528;4.31;2.901;58.6;0;0;0;2;0;18;0;0;0;Yes;Energy Amp;Weapon Cells; ; ; ;Laser Pistoleer (Hit);4; ;Ranged Laser (Dmg);4; ;Crafted;11.9.4;ROCKtropia; 
Marcato-9 Steampunk Automatic Pistol (L);Pistol;Laser; ;30.8;3.5;30; ;55;1.1;19.1;588.7;1.494;570;7.194;41.00;1.23; ;1.0;2662;6.59;2.898;58.4;0;0;0;3;0;27;0;0;0;Yes;Energy Amp;Weapon Cells; ; ; ;Laser Pistoleer (Hit);9; ;Ranged Laser (Dmg);9; ;Crafted;11.9.4;ROCKtropia; 
MarCorp Kallous-1 (L);Carbine;Laser; ;61.6;1.2;21; ;38;1.6;9.2;569.4;0.350;480;5.150;19.60;0.59;117.00%;1.0;5432;3.26;2.834;53.7;0;0;0;7;0;14;0;0;0;Yes;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);4;6;Ranged Laser (Dmg);4;6;Looted;Planet Calypso 2012.5.1;Planet Calypso; 
MarCorp Kallous-1, CDF Edition (L);Carbine;Laser; ;61.6;1.2;21; ;38;1.6;9.2;569.4;0.002;515;5.152;0.40;0.00; ;1.0;20000;3.26;2.833;53.6;0;0;0;7;0;14;0;0;0;Yes;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);3;4;Ranged Laser (Dmg);3;4;Daily Token Trader;;Planet Calypso; 
MarCorp Kallous-2 (L);Carbine;Laser; ;57.2;1.2;26; ;41;1.5;12.3;706.3;0.458;591;6.368;29.70;0.88; ;1.0;6293;4.35;2.838;54.0;0;0;0;8;0;16;0;0;2;Yes;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);6;8;Ranged Laser (Dmg);6;8;Looted;;Planet Calypso; 
