Name;Class;Type;MF Level;Range;Weight;Damage;Impact Radius;Attacks;Reload;Dmg/sec;Power;Decay;Ammo;Cost;Max.TT;Min.TT;Markup;Eff.Markup;Total Uses;Cost/sec;Dmg/PEC;Efficiency;Stb;Cut;Imp;Pen;Shr;Brn;Cld;Acd;Elc;SIB;Amplifier;Ammo;Concentration;Cooldown;Cooldown Group;Hit Profession;Rec.;Maxed;Damage Profession;Rec.;Maxed;Source;Discovered;Found on;Personal effects
Fenris Sniper Rifle (L);Rifle;BLP; ;110.0;3;140;0;13;4.6;21.1;2319.0; ;3300; ;5.00;0.15; ; ; ; ; ;53.3;0;0;0;140;0;0;0;0;0;No; ;BLP Pack; ; ; ;BLP Sniper (Hit);0; ;Ranged BLP (Dmg);0; ; ;14.9;The Hub;Deceleration 30% duration 4 s
Fire Forge ARR 8000;Rifle;Laser; ;130.0;5.3;66;0;24;2.5;18.3;2385.2;1.060;1500;16.060;116.00;3.48; ;1.0;10616;6.42;2.856;55.3;0;0;0;6;0;60;0;0;0;No;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);0;100;Ranged Laser (Dmg);0;100;Looted;;Planet Calypso; 
Fire Forge ARR 8000, Ancient;Rifle;Laser; ;160.0;5.3;66;0;24;2.5;18.3;2935.7;1.060;1500;16.060;116.00;3.48; ;1.0;10616;6.42;2.856;55.3;0;0;0;6;0;60;0;0;0;No;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);0;100;Ranged Laser (Dmg);0;100;Pregold;;Planet Calypso; 
Fire Forge ARR 8000, Ancient, Improved;Rifle;Laser; ;190.0;5.3;92;0;30;2.0;32.0;6074.3;0.350;2100;21.350;500.00;15.00; ;1.0;138572;10.68;2.995;65.8;0;0;0;9;0;83;0;0;0;No;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);0;100;Ranged Laser (Dmg);0;100;Pregold;;Planet Calypso; 
Fire Forge ARR 8000, Improved;Rifle;Laser; ;145.0;5.3;92;0;30;2.0;32.0;4635.6;0.351;2100;21.351;500.00;15.00;5000.00 PED;1.0;138177;10.68;2.995;65.8;0;0;0;9;0;83;0;0;0;No;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);0;100;Ranged Laser (Dmg);0;100;Looted;;Planet Calypso; 
Fire Forge ARR 8000, SGA Edition;Rifle;Laser; ;130.0;5.3;69;0;24;2.5;19.2;2493.7;1.790;1500;16.790;116.00;3.48; ;1.0;6287;6.72;2.856;55.3;0;0;0;7;0;62;0;0;0;No;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);0;100;Ranged Laser (Dmg);0;100;Looted;;Planet Calypso; 
Fire Forge ARR 8000M;Rifle;Laser; ;135.0;5.4;71;0;24;2.5;19.7;2664.6;1.200;1600;17.200;123.00;3.69; ;1.0;9943;6.88;2.869;56.2;0;0;0;7;0;64;0;0;0;No;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);0;100;Ranged Laser (Dmg);0;100;Looted;;Planet Calypso; 
Fire Forge ARR 8000M, Ancient;Rifle;Laser; ;185.0;5.4;71;0;24;2.5;19.7;3651.5;1.200;1600;17.200;123.00;3.69; ;1.0;9943;6.88;2.869;56.2;0;0;0;7;0;64;0;0;0;No;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);0;100;Ranged Laser (Dmg);0;100;Pregold;;Planet Calypso; 
Fire Forge BGH 4400;Rifle;Laser; ;120.0;5.1;53;0;21;2.9;12.9;1547.1;1.030;1200;13.030;95.00;2.85; ;1.0;8947;4.56;2.827;53.7;0;0;0;5;0;48;0;0;0;No;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);0;100;Ranged Laser (Dmg);0;100;Looted;;Planet Calypso; 
Fire Forge BGH 4400, Ancient;Rifle;Laser; ;160.0;5.1;53;0;21;2.9;12.9;2062.8;1.030;1200;13.030;95.00;2.85; ;1.0;8947;4.56;2.827;53.7;0;0;0;5;0;48;0;0;0;No;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);0;100;Ranged Laser (Dmg);0;100;Pregold;;Planet Calypso; 
Fire Forge BGH 4400M;Rifle;Laser; ;125.0;5.2;61; ;21;2.9;14.8;1854.8;0.800;1400;14.800;115.00;3.45; ;1.0;13944;5.18;2.865;55.1;0;0;0;6;0;55;0;0;0;No;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);0;100;Ranged Laser (Dmg);0;100;Looted;;Planet Calypso; 
Fire Forge BGH 4400M, Ancient;Rifle;Laser; ;130.0;5.2;61;0;21;2.9;14.8;1929.0;0.800;1400;14.800;112.00;3.36; ;1.0;13580;5.18;2.865;55.1;0;0;0;6;0;55;0;0;0;No;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);0;100;Ranged Laser (Dmg);0;100;Pregold;;Planet Calypso; 
