Name;Class;Type;MF Level;Range;Weight;Damage;Impact Radius;Attacks;Reload;Dmg/sec;Power;Decay;Ammo;Cost;Max.TT;Min.TT;Markup;Eff.Markup;Total Uses;Cost/sec;Dmg/PEC;Efficiency;Stb;Cut;Imp;Pen;Shr;Brn;Cld;Acd;Elc;SIB;Amplifier;Ammo;Concentration;Cooldown;Cooldown Group;Hit Profession;Rec.;Maxed;Damage Profession;Rec.;Maxed;Source;Discovered;Found on;Personal effects
CDF XTLC 1000;Carbine;Laser; ;92.4;2.5;159; ;44;1.4;81.0;7487.8;3.912;3440;38.312;322.00;9.66; ;1.0;7985;28.10;2.884;57.4;0;0;109;50;0;0;0;0;0;Yes;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);100;105;Ranged Laser (Dmg);100;105;Core Mayhem #3 Event;;Planet Calypso;Skill Gain - Laser Weapons 10%
Cempball-Welch 1/P-1;Pistol;Plasma; ;49.5;1.5;24;0;16;3.8;4.4;220.2;0.060;600;6.060;18.00;0.54; ;1.0;29100;1.62;2.752;48.0;0;0;0;0;2;20;0;2;0;No;Energy Amp;; ; ; ;Plasma Pistoleer (Hit);0;100;Ranged Plasma (Dmg);0;100;Looted;;Planet Calypso; 
Cempball-Welch 1/P-1, Mentor Edition;Pistol;Plasma; ;60.5;2;27;0;19;3.2;5.9;359.5;0.120;700;7.120;18.00;0.54; ;1.0;14550;2.25;2.636;40.4;0;0;0;0;2;23;0;2;0;No;Energy Amp;; ; ; ;Plasma Pistoleer (Hit);0;100;Ranged Plasma (Dmg);0;100;Mentoring;;Planet Calypso; 
Cempball-Welch 1/P-2;Pistol;Plasma; ;55.0;1.9;56;0;19;3.2;12.3;677.9;0.800;1300;13.800;52.00;1.56; ;1.0;6305;4.37;2.820;52.7;0;0;0;5;0;46;0;5;0;No;Energy Amp;; ; ; ;Plasma Pistoleer (Hit);0;100;Ranged Plasma (Dmg);0;100;Looted;;Planet Calypso; 
Cempball-Welch 1/P-3;Pistol;Plasma; ;55.0;1.9;60;0;20;3.0;13.9;764.5;1.640;1300;14.640;80.00;2.40; ;1.0;4732;4.88;2.848;53.9;0;0;0;0;6;48;0;6;0;No;Energy Amp;; ; ; ;Plasma Pistoleer (Hit);0;100;Ranged Plasma (Dmg);0;100;Looted;;Planet Calypso; 
Cempball-Welch 1/P-3, Ancient;Pistol;Plasma; ;55.0;1.9;60;0;20;3.0;13.9;764.5;0.000;1300;13.000;80.00;2.40; ;1.0;-2147483648;4.33;3.208;83.8;0;0;0;0;6;48;0;6;0;No;Energy Amp;; ; ; ;Plasma Pistoleer (Hit);0;100;Ranged Plasma (Dmg);0;100;Pregold;;Planet Calypso; 
Chaz Wolf (L);Carbine;Laser; ;53.9; ;13;0;37;1.6;5.6;300.3; ;300; ; ; ; ; ; ; ; ; ;0;0;0;0;0;13;0;0;0;Yes;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);0; ;Ranged Laser (Dmg);0; ;Special Code;;Planet Calypso; 
Cheap A$$ Mk-1 Rifle (L);Rifle;BLP; ;55.0;1.3;2;0;34;1.8;0.8;43.3;0.081;41;0.491;0.14;0.0042; ;1.0;168;0.28;2.831;53.5;0;0;0;1;0;1;0;0;0;Yes;BLP Amp;Cheap A$$ Ammo; ; ; ;BLP Sniper (Hit);0; ;Ranged BLP (Dmg);0; ;Mission;12.0.4;ROCKtropia; 
Chef's Knife (L);Melee;Shortblades; ;5.0;0.4;5; ;78;0.8;4.5;22.6;1.200;0;1.200;9.00; ; ;1.0;750;1.56;2.896;58.2;3;1;0;0;0;1;0;0;0;Yes;Melee Amp;; ; ; ;Knifefighter (Hit);0; ;Knifefighter (Dmg);0; ;TT RT;15.0;ROCKtropia; 
Chikara APPPG-1;Pistol;Plasma; ;48.4;0.4;132;0;22;2.7;33.6;1628.1;8.920;2300;31.920;187.00;5.61;4999.00 PED;1.0;2034;11.70;2.874;56.6;0;0;0;0;13;106;0;13;0;No;Energy Amp;; ; ; ;Plasma Pistoleer (Hit);0;100;Ranged Plasma (Dmg);0;100;Looted;;Planet Calypso; 
Chikara APPPG-1, SGA Edition;Pistol;Plasma; ;48.4;0.4;132;0;23;2.6;35.2;1702.1;8.923;2300;31.923;187.00;5.61; ;1.0;2033;12.24;2.874;56.6;0;0;0;0;13;106;0;13;0;No;Energy Amp;; ; ; ;Plasma Pistoleer (Hit);0;100;Ranged Plasma (Dmg);0;100;Looted;;Planet Calypso; 
Chikara Bakeneko (L);Melee;Power Fist; ;5.0; ;75; ;67;0.9;58.2;291.0; ;0; ;1400.00;42.00; ; ; ; ; ; ;29;27;0;0;0;0;0;0;19;Yes;Melee Amp;; ; ; ;Brawler (Hit);50; ;Brawler (Dmg);50; ;Crafted;12.2.1;Planet Calypso; 
